contract,source,bars,start_date,end_date,total_days,trades,total_return%,annual_return%,max_dd%,sharpe,total_pnl,commission,win_rate%,elapsed_s
p2201.DCE,Wind,28402,2021-08-13,2021-12-17,84,125,-0.4204515999999936,-1.2012902857142675,-0.6005038000000059,-0.9967694096916317,-4204.5160000000005,1124.516,0,2.0
p2205.DCE,Wind,27020,2021-12-15,2022-04-15,80,129,1.2773305999999929,3.8319917999999786,-0.870599686495375,1.363392367049771,12773.306,1326.6940000000002,0,1.8
p2209.DCE,Wind,28408,2022-04-15,2022-08-16,84,118,7.163183999999978,20.46623999999994,-2.043017463105535,4.373970105892419,71631.84,1228.16,0,2.0
p2301.DCE,Wind,27735,2022-08-15,2022-12-14,82,106,-0.5039923999999973,-1.4750997073170653,-0.5039923999999999,-2.1453467821341947,-5039.924,859.9240000000001,0,2.0
p2305.DCE,Wind,23282,2022-12-30,2023-04-14,69,95,-0.3199738000000063,-1.1129523478261087,-0.5005939999999944,-1.2974186788841975,-3199.738,749.738,0,1.6
p2309.DCE,Wind,26215,2023-04-20,2023-08-11,77,106,0.5085133999999991,1.5849768311688284,-0.22564361052733078,1.485655786079421,5085.133999999999,754.8660000000001,0,1.8
p2401.DCE,Wind,27676,2023-08-14,2023-12-12,81,128,-0.39088720000000077,-1.1581842962962985,-0.48484690570630085,-2.311054948100677,-3908.8720000000003,948.8720000000001,0,1.9
p2405.DCE,Wind,28502,2023-12-06,2024-04-12,84,143,1.0615974000000028,3.0331354285714367,-0.24340972921215723,2.9941658764868255,10615.974,1064.026,0,2.0
p2409.DCE,Wind,50243,2024-01-12,2024-08-22,148,232,0.5041781999999939,0.8175862702702604,-0.3736698664184732,1.3363147246969083,5041.782,1738.2180000000003,0,3.4
p2501.DCE,Wind,55406,2024-04-25,2024-12-24,163,287,0.6573686000000079,0.9679046871165761,-0.5730408770689227,0.9824498674677,6573.685999999998,2386.314,0,3.8
p2505.DCE,Wind,28223,2024-12-09,2025-04-14,83,126,0.44805500000000276,1.295580722891574,-0.348106736651561,1.3683670629475244,4480.55,1119.45,0,2.1
p2509.DCE,Wind,27907,2025-04-15,2025-08-12,82,121,0.15881639999999475,0.4648284878048627,-0.22739371921724083,0.7782681869294086,1588.1639999999998,1011.8359999999999,0,1.9
p2601.DCE,XT,30231,2025-07-01,2025-11-07,88,134,1.205987800000008,3.289057636363658,-0.5823130952909216,2.6280999202085904,12059.877999999997,1240.1220000000003,0,2.0
